combustible,transmision_automatica,transmision_automatica_secuencial,transmision_mecanica,anio,precio,kilometraje
1.0,1.0,0.0,0.0,2.024,3.099,0.16
0.0,0.0,1.0,0.0,2.02,2.149,0.72
0.0,1.0,0.0,0.0,2.019,1.63,0.9065
0.0,1.0,0.0,0.0,2.024,2.3,0.12557
0.0,0.0,1.0,0.0,2.024,2.199,0.0769
0.0,0.0,0.0,1.0,2.025,1.75,0.03394
0.0,1.0,0.0,0.0,2.021,2.79,0.4461
1.0,0.0,0.0,1.0,2.025,1.829,0.0002
0.0,1.0,0.0,0.0,2.018,1.49,0.6313
1.0,1.0,0.0,0.0,2.023,2.9991,0.18084
1.0,0.0,0.0,1.0,2.024,1.6,0.0616
0.0,1.0,0.0,0.0,2.013,1.39,0.89678
0.0,1.0,0.0,0.0,2.022,1.999,0.407
0.0,1.0,0.0,0.0,2.021,1.2,0.60953
0.0,1.0,0.0,0.0,2.024,1.999,0.16
0.0,1.0,0.0,0.0,2.019,1.6,0.52
0.0,1.0,0.0,0.0,2.013,0.85,1.13929
0.0,1.0,0.0,0.0,2.025,1.3,0.0071
0.0,0.0,1.0,0.0,2.023,3.89,0.318
1.0,0.0,0.0,1.0,2.023,2.53,0.86813
0.0,1.0,0.0,0.0,2.02,3.3,0.84065
1.0,1.0,0.0,0.0,2.024,3.2991,0.13762
1.0,1.0,0.0,0.0,2.021,1.85,0.56497
0.0,0.0,0.0,1.0,2.023,1.3,0.99801
1.0,1.0,0.0,0.0,2.024,4.45,0.00744
0.0,1.0,0.0,0.0,2.018,1.29,0.90017
0.0,1.0,0.0,0.0,2.012,1.39,0.32226
1.0,1.0,0.0,0.0,2.024,3.2991,0.03431
0.0,0.0,1.0,0.0,2.023,2.349,0.105
1.0,1.0,0.0,0.0,2.023,1.55,0.01751
0.0,0.0,0.0,1.0,2.025,1.65,0.82831
0.0,1.0,0.0,0.0,2.026,2.99,0.09029
1.0,1.0,0.0,0.0,2.025,4.3991,0.00259
0.0,1.0,0.0,0.0,2.02,3.99,0.79865
0.0,1.0,0.0,0.0,2.022,3.4,0.4836
0.0,0.0,1.0,0.0,2.024,2.849,0.17
1.0,1.0,0.0,0.0,2.024,1.75,0.00027
1.0,0.0,0.0,1.0,2.02,2.19,1.16096
0.0,1.0,0.0,0.0,2.021,3.29,0.71665
1.0,0.0,0.0,1.0,2.026,3.249,0.0025
0.0,1.0,0.0,0.0,2.02,2.5,0.94841
1.0,1.0,0.0,0.0,2.022,2.5,0.61155
1.0,0.0,1.0,0.0,2.022,1.86,0.86743
1.0,1.0,0.0,0.0,2.022,2.5,0.7373
1.0,1.0,0.0,0.0,2.022,2.1,0.61285
0.0,1.0,0.0,0.0,2.023,3.5991,0.13649
1.0,0.0,0.0,1.0,2.023,4.09,0.45181
0.0,0.0,1.0,0.0,2.023,2.95,0.30566
0.0,1.0,0.0,0.0,2.021,2.15,0.56409
0.0,1.0,0.0,0.0,2.023,1.99,0.32215
0.0,0.0,1.0,0.0,2.017,2.09,0.915
0.0,1.0,0.0,0.0,2.024,1.83,0.4908
1.0,0.0,0.0,1.0,2.021,1.429,0.51
0.0,1.0,0.0,0.0,2.023,3.09,0.05019
0.0,1.0,0.0,0.0,2.02,1.95,0.54642
1.0,0.0,1.0,0.0,2.022,2.1,0.56378
1.0,1.0,0.0,0.0,2.02,3.39,0.52081
0.0,0.0,1.0,0.0,2.017,0.89,0.881
1.0,0.0,0.0,1.0,2.02,2.15,0.96579
1.0,1.0,0.0,0.0,2.013,1.98,1.06253
0.0,1.0,0.0,0.0,2.008,0.9,0.016
0.0,1.0,0.0,0.0,2.018,1.65,0.60824
1.0,1.0,0.0,0.0,2.024,2.4,0.13567
0.0,0.0,0.0,1.0,2.023,0.93,1.02
0.0,0.0,1.0,0.0,2.019,2.09,0.49
0.0,0.0,1.0,0.0,2.014,1.34,0.86
1.0,0.0,0.0,1.0,2.012,0.7099,0.98
0.0,0.0,1.0,0.0,2.017,2.15,0.575
0.0,0.0,1.0,0.0,2.026,3.5,0.025
0.0,0.0,1.0,0.0,2.024,2.15,0.5
0.0,1.0,0.0,0.0,2.02,4.25,0.3097
1.0,0.0,0.0,1.0,2.022,2.2,0.76
0.0,0.0,0.0,1.0,2.019,0.9,0.9
1.0,0.0,1.0,0.0,2.023,1.86,0.26
0.0,1.0,0.0,0.0,2.02,2.98,0.74
0.0,0.0,1.0,0.0,2.017,1.89,0.486
0.0,0.0,1.0,0.0,2.022,3.87,0.166
0.0,1.0,0.0,0.0,2.019,3.15,0.08
